name,price,instoke
Мезофильная закваска для сыра Биоантибут,108,Есть в наличии
Мезофильная закваска для сыра БК-Углич-5А,108,Есть в наличии
"Закваска ПроСыр ""Домашний сыр, фета и брынза""",229,Есть в наличии
"Закваска для сыра ПроСыр ""Фермерская""",319,Есть в наличии
"Закваска ПроСыр ""Гауда и эдам""",229,Есть в наличии
"Закваска ПроСыр ""Камамбер и бри""",229,Есть в наличии
"Закваска ПроСыр ""Сметана, творог и филадельфия""",229,Есть в наличии
"Закваска ПроСыр ""Для сыра из козьего молока""",229,Есть в наличии
Мезофильная закваска для сыра БК-Углич-№4 (1ЕА),269,Есть в наличии
Мезофильная закваска Danisco CHOOZIT MM 101 (25 DCU),585,Есть в наличии
Мезофильная закваска Danisco CHOOZIT MM 101 (250 DCU),4 300,Есть в наличии
Мезо-термофильная закваска Sacco MS 062/064/066 CM (5D),790,Есть в наличии
Фермерская закваска Danisco MA 4001/4002 (25 DCU),625,Есть в наличии
Фермерская закваска Danisco MA 4001/4002 (5 DCU),320,Есть в наличии
Мезо-термофильная закваска SU CASU LYO 50 DCU,895,Есть в наличии
Мезо-термофильная закваска SU CASU LYO 500 DCU,8 690,Есть в наличии
Мезофильная закваска Danisco CHOOZIT MA 11/16 (25 DCU),540,Есть в наличии
Мезофильная закваска для сыра БК-Углич-С (1ЕА),269,Есть в наличии
Мезофильная закваска Chr.Hansen CHN-19 (50U),1 050,Есть в наличии
Мезофильная закваска Chr.Hansen CHN-19 (200U),3 050,Есть в наличии
Мезофильная закваска Chr.Hansen CHN-19 (500U),6 650,Есть в наличии
Мезофильная закваска Danisco CHOOZIT MA 20 (10 DCU),435,Есть в наличии
Мезофильная закваска для сыра и творога БК-Углич-№7 (1ЕА),269,Есть в наличии
Закваска мезофильная Chr.Hansen MO-10 (50U),1 215,Есть в наличии
Мезофильная закваска для сыра БК-Углич-№6,269,Есть в наличии
Закваска мезофильная Chr.Hansen R-703 (50U),1 315,Есть в наличии
Мезо-термофильная закваска Биоантибут-ТП,269,Есть в наличии
Закваска «Мягкий сыр» Lactoferm ECO - на 250 литров молока,695,Есть в наличии
Ароматообразующая закваска Danisco MD88/89/99 (50 DCU),1 050,Есть в наличии
